L,H,Do,WP,FW,led,TF,TW,Elastic Load
4000,700,560,56,162,488,15,9,112.8
4000,700,560,56,162,488,20,9,151.3
4000,700,560,56,162,488,25,9,175.4
4000,700,560,56,162,488,15,12,176.6
4000,700,560,56,162,488,20,12,228.9
4000,700,560,56,162,488,25,12,286.7
4000,700,560,56,162,488,15,15,247.1
4000,700,560,56,162,488,20,15,309.2
4000,700,560,56,162,488,25,15,379.0
4000,700,560,162.4,162,276,15,9,143.1
4000,700,560,162.4,162,276,20,9,181.1
4000,700,560,162.4,162,276,25,9,207.0
4000,700,560,162.4,162,276,15,12,221.4
4000,700,560,162.4,162,276,20,12,276.5
4000,700,560,162.4,162,276,25,12,334.7
4000,700,560,162.4,162,276,15,15,297.1
4000,700,560,162.4,162,276,20,15,368.3
4000,700,560,162.4,162,276,25,15,441.5
4000,700,560,274.4,162,52,15,9,161.3
4000,700,560,274.4,162,52,20,9,198.3
4000,700,560,274.4,162,52,25,9,220.9
4000,700,560,274.4,162,52,15,12,243.8
4000,700,560,274.4,162,52,20,12,303.5
4000,700,560,274.4,162,52,25,12,363.7
4000,700,560,274.4,162,52,15,15,317.7
4000,700,560,274.4,162,52,20,15,397.1
4000,700,560,274.4,162,52,25,15,475.9
4000,700,467,46.7,162,224.5,15,9,117.4
4000,700,467,46.7,162,224.5,20,9,160.1
4000,700,467,46.7,162,224.5,25,9,193.2
4000,700,467,46.7,162,224.5,15,12,186.1
4000,700,467,46.7,162,224.5,20,12,239.4
4000,700,467,46.7,162,224.5,25,12,301.8
4000,700,467,46.7,162,224.5,15,15,262.0
4000,700,467,46.7,162,224.5,20,15,325.2
4000,700,467,46.7,162,224.5,25,15,397.4
4000,700,467,135.43,162,562.5,15,9,152.7
4000,700,467,135.43,162,562.5,20,9,198.1
4000,700,467,135.43,162,562.5,25,9,243.6
4000,700,467,135.43,162,562.5,15,12,234.3
4000,700,467,135.43,162,562.5,20,12,292.7
4000,700,467,135.43,162,562.5,25,12,356.4
4000,700,467,135.43,162,562.5,15,15,314.3
4000,700,467,135.43,162,562.5,20,15,389.0
4000,700,467,135.43,162,562.5,25,15,466.3
4000,700,467,228.83,162,374.5,15,9,168.6
4000,700,467,228.83,162,374.5,20,9,214.4
4000,700,467,228.83,162,374.5,25,9,259.5
4000,700,467,228.83,162,374.5,15,12,253.9
4000,700,467,228.83,162,374.5,20,12,315.4
4000,700,467,228.83,162,374.5,25,12,380.0
4000,700,467,228.83,162,374.5,15,15,333.5
4000,700,467,228.83,162,374.5,20,15,414.0
4000,700,467,228.83,162,374.5,25,15,494.8
4000,700,412,41.2,162,435,15,9,124.2
4000,700,412,41.2,162,435,20,9,171.3
4000,700,412,41.2,162,435,25,9,222.7
4000,700,412,41.2,162,435,15,12,196.5
4000,700,412,41.2,162,435,20,12,251.8
4000,700,412,41.2,162,435,25,12,318.2
4000,700,412,41.2,162,435,15,15,275.5
4000,700,412,41.2,162,435,20,15,341.5
4000,700,412,41.2,162,435,25,15,416.5
4000,700,412,119.48,162,201,15,9,155.8
4000,700,412,119.48,162,201,20,9,200.2
4000,700,412,119.48,162,201,25,9,241.0
4000,700,412,119.48,162,201,15,12,240.8
4000,700,412,119.48,162,201,20,12,299.9
4000,700,412,119.48,162,201,25,12,364.3
4000,700,412,119.48,162,201,15,15,321.4
4000,700,412,119.48,162,201,20,15,398.4
4000,700,412,119.48,162,201,25,15,477.6
4000,700,412,201.88,162,566,15,9,174.2
4000,700,412,201.88,162,566,20,9,222.3
4000,700,412,201.88,162,566,25,9,273.2
4000,700,412,201.88,162,566,15,12,261.5
4000,700,412,201.88,162,566,20,12,324.9
4000,700,412,201.88,162,566,25,12,391.9
4000,700,412,201.88,162,566,15,15,343.5
4000,700,412,201.88,162,566,20,15,426.1
4000,700,412,201.88,162,566,25,15,509.3
4000,560,448,44.8,162,297,15,9,131.9
4000,560,448,44.8,162,297,20,9,165.9
4000,560,448,44.8,162,297,25,9,183.1
4000,560,448,44.8,162,297,15,12,199.6
4000,560,448,44.8,162,297,20,12,255.8
4000,560,448,44.8,162,297,25,12,313.6
4000,560,448,44.8,162,297,15,15,264.6
4000,560,448,44.8,162,297,20,15,334.5
4000,560,448,44.8,162,297,25,15,408.9
4000,560,448,129.92,162,42,15,9,163.8
4000,560,448,129.92,162,42,20,9,197.2
4000,560,448,129.92,162,42,25,9,214.2
4000,560,448,129.92,162,42,15,12,238.9
4000,560,448,129.92,162,42,20,12,301.5
4000,560,448,129.92,162,42,25,12,362.7
4000,560,448,129.92,162,42,15,15,300.5
4000,560,448,129.92,162,42,20,15,383.3
4000,560,448,129.92,162,42,25,15,465.8
4000,560,448,219.52,162,440,15,9,185.7
4000,560,448,219.52,162,440,20,9,235.3
4000,560,448,219.52,162,440,25,9,281.9
4000,560,448,219.52,162,440,15,12,259.8
4000,560,448,219.52,162,440,20,12,328.4
4000,560,448,219.52,162,440,25,12,397.3
4000,560,448,219.52,162,440,15,15,324.3
4000,560,448,219.52,162,440,20,15,412.6
4000,560,448,219.52,162,440,25,15,500.8
4000,560,373,37.3,162,173.5,15,9,141.1
4000,560,373,37.3,162,173.5,20,9,186.5
4000,560,373,37.3,162,173.5,25,9,219.8
4000,560,373,37.3,162,173.5,15,12,212.2
4000,560,373,37.3,162,173.5,20,12,272.0
4000,560,373,37.3,162,173.5,25,12,338.1
4000,560,373,37.3,162,173.5,15,15,279.6
4000,560,373,37.3,162,173.5,20,15,353.7
4000,560,373,37.3,162,173.5,25,15,433.4
4000,560,373,108.17,162,370.5,15,9,178.0
4000,560,373,108.17,162,370.5,20,9,227.0
4000,560,373,108.17,162,370.5,25,9,272.7
4000,560,373,108.17,162,370.5,15,12,254.4
4000,560,373,108.17,162,370.5,20,12,321.9
4000,560,373,108.17,162,370.5,25,12,391.3
4000,560,373,108.17,162,370.5,15,15,321.4
4000,560,373,108.17,162,370.5,20,15,408.0
4000,560,373,108.17,162,370.5,25,15,495.8
4000,560,373,182.77,162,145.5,15,9,190.8
4000,560,373,182.77,162,145.5,20,9,240.2
4000,560,373,182.77,162,145.5,25,9,285.4
4000,560,373,182.77,162,145.5,15,12,266.9
4000,560,373,182.77,162,145.5,20,12,338.0
4000,560,373,182.77,162,145.5,25,12,409.3
4000,560,373,182.77,162,145.5,15,15,331.3
4000,560,373,182.77,162,145.5,20,15,423.0
4000,560,373,182.77,162,145.5,25,15,515.0
4000,560,329,32.9,162,25.5,15,9,148.5
4000,560,329,32.9,162,25.5,20,9,194.6
4000,560,329,32.9,162,25.5,25,9,223.9
4000,560,329,32.9,162,25.5,15,12,223.7
4000,560,329,32.9,162,25.5,20,12,286.4
4000,560,329,32.9,162,25.5,25,12,355.6
4000,560,329,32.9,162,25.5,15,15,291.7
4000,560,329,32.9,162,25.5,20,15,370.7
4000,560,329,32.9,162,25.5,25,15,455.0
4000,560,329,95.41,162,139.5,15,9,181.2
4000,560,329,95.41,162,139.5,20,9,230.6
4000,560,329,95.41,162,139.5,25,9,276.1
4000,560,329,95.41,162,139.5,15,12,258.6
4000,560,329,95.41,162,139.5,20,12,327.7
4000,560,329,95.41,162,139.5,25,12,399.0
4000,560,329,95.41,162,139.5,15,15,324.6
4000,560,329,95.41,162,139.5,20,15,413.7
4000,560,329,95.41,162,139.5,25,15,504.1
4000,560,329,161.21,162,365.5,15,9,196.8
4000,560,329,161.21,162,365.5,20,9,249.5
4000,560,329,161.21,162,365.5,25,9,302.0
4000,560,329,161.21,162,365.5,15,12,274.5
4000,560,329,161.21,162,365.5,20,12,347.6
4000,560,329,161.21,162,365.5,25,12,421.8
4000,560,329,161.21,162,365.5,15,15,341.4
4000,560,329,161.21,162,365.5,20,15,435.1
4000,560,329,161.21,162,365.5,25,15,529.5
4000,420,336,33.6,162,352,15,9,158.9
4000,420,336,33.6,162,352,20,9,201.6
4000,420,336,33.6,162,352,25,9,230.2
4000,420,336,33.6,162,352,15,12,220.9
4000,420,336,33.6,162,352,20,12,286.7
4000,420,336,33.6,162,352,25,12,353.4
4000,420,336,33.6,162,352,15,15,272.6
4000,420,336,33.6,162,352,20,15,355.4
4000,420,336,33.6,162,352,25,15,441.6
4000,420,336,97.44,162,100,15,9,187.1
4000,420,336,97.44,162,100,20,9,236.2
4000,420,336,97.44,162,100,25,9,274.7
4000,420,336,97.44,162,100,15,12,247.3
4000,420,336,97.44,162,100,20,12,322.3
4000,420,336,97.44,162,100,25,12,396.4
4000,420,336,97.44,162,100,15,15,293.7
